Uid,FrameId,FrameType,PacketIndex,TotalPackets,TxApp,TxMac,TxPhy,RxPhy,RxApp,LatencyApp,LatencyPhy,Tid,Ac,IsAmpdu,AmpduRef
5443,210,1,0,30,9.94,0,10.4396,0,0,-9940,-10439631,0,0,0,0
5440,0,0,0,0,0,0,9.93866,9.93899,0,0,332,0,0,0,0
5437,0,0,0,0,0,0,9.92383,9.92385,0,0,28,0,0,0,0
5434,0,0,0,0,0,0,9.92344,9.92347,0,0,28,0,0,0,0
5431,0,0,0,0,0,0,9.91955,9.91958,0,0,28,0,0,0,0
5428,0,0,0,0,0,0,9.91936,9.91939,0,0,28,0,0,0,0
5425,0,0,0,0,0,0,9.91569,9.91572,0,0,28,0,0,0,0
5422,0,0,0,0,0,0,9.91469,9.91476,0,0,72,0,0,0,0
5419,0,0,0,0,0,0,9.91464,9.91467,0,0,32,0,0,0,0
5418,209,2,4,5,9.90704,0,0,0,0,-9907,0,0,0,0,0
5417,209,2,3,5,9.90703,0,0,0,0,-9907,0,0,0,0,0
5416,209,2,2,5,9.90702,0,0,0,0,-9907,0,0,0,0,0
5415,209,2,1,5,9.90701,0,10.4045,0,0,-9907,-10404506,0,0,0,0
5414,209,2,0,5,9.907,0,10.3804,10.3805,0,-9907,96,0,0,0,365
5411,0,0,0,0,0,0,9.88778,9.88785,0,0,72,0,0,0,0
5408,0,0,0,0,0,0,9.88773,9.88777,0,0,32,0,0,0,0
5407,208,2,4,5,9.87404,0,0,0,0,-9874,0,0,0,0,0
5406,208,2,3,5,9.87403,0,0,0,0,-9874,0,0,0,0,0
5405,208,2,2,5,9.87402,0,0,0,0,-9874,0,0,0,0,0
5404,208,2,1,5,9.87401,0,10.3735,0,0,-9874,-10373509,0,0,0,0
5403,208,2,0,5,9.874,0,10.3575,10.3576,0,-9874,96,0,0,0,364
5400,0,0,0,0,0,0,9.87243,9.87245,0,0,28,0,0,0,0
5397,0,0,0,0,0,0,9.85844,9.85851,0,0,72,0,0,0,0
5394,0,0,0,0,0,0,9.85839,9.85843,0,0,32,0,0,0,0
5393,207,1,29,30,9.84129,0,0,0,0,-9841,0,0,0,0,0
5392,207,1,28,30,9.84128,0,0,0,0,-9841,0,0,0,0,0
5391,207,1,27,30,9.84127,0,0,0,0,-9841,0,0,0,0,0
5390,207,1,26,30,9.84126,0,0,0,0,-9841,0,0,0,0,0
5389,207,1,25,30,9.84125,0,0,0,0,-9841,0,0,0,0,0
5388,207,1,24,30,9.84124,0,0,0,0,-9841,0,0,0,0,0
5387,207,1,23,30,9.84123,0,0,0,0,-9841,0,0,0,0,0
5386,207,1,22,30,9.84122,0,0,0,0,-9841,0,0,0,0,0
5385,207,1,21,30,9.84121,0,0,0,0,-9841,0,0,0,0,0
5384,207,1,20,30,9.8412,0,0,0,0,-9841,0,0,0,0,0
5383,207,1,19,30,9.84119,0,0,0,0,-9841,0,0,0,0,0
5382,207,1,18,30,9.84118,0,0,0,0,-9841,0,0,0,0,0
5381,207,1,17,30,9.84117,0,0,0,0,-9841,0,0,0,0,0
5380,207,1,16,30,9.84116,0,0,0,0,-9841,0,0,0,0,0
5379,207,1,15,30,9.84115,0,0,0,0,-9841,0,0,0,0,0
5378,207,1,14,30,9.84114,0,0,0,0,-9841,0,0,0,0,0
5377,207,1,13,30,9.84113,0,0,0,0,-9841,0,0,0,0,0
5376,207,1,12,30,9.84112,0,0,0,0,-9841,0,0,0,0,0
5375,207,1,11,30,9.84111,0,0,0,0,-9841,0,0,0,0,0
5374,207,1,10,30,9.8411,0,0,0,0,-9841,0,0,0,0,0
5373,207,1,9,30,9.84109,0,0,0,0,-9841,0,0,0,0,0
5372,207,1,8,30,9.84108,0,0,0,0,-9841,0,0,0,0,0
5371,207,1,7,30,9.84107,0,0,0,0,-9841,0,0,0,0,0
5370,207,1,6,30,9.84106,0,0,0,0,-9841,0,0,0,0,0
5369,207,1,5,30,9.84105,0,0,0,0,-9841,0,0,0,0,0
5368,207,1,4,30,9.84104,0,10.3371,0,0,-9841,-10337060,0,0,0,0
5367,207,1,3,30,9.84103,0,10.3251,10.3252,0,-9841,96,0,0,0,363
5366,207,1,2,30,9.84102,0,10.3153,10.3154,0,-9841,96,0,0,0,362
5365,207,1,1,30,9.84101,0,10.3145,10.3146,0,-9841,96,0,0,0,361
5364,207,1,0,30,9.841,0,10.3119,10.312,0,-9841,96,0,0,0,360
5361,0,0,0,0,0,0,9.83626,9.83659,0,0,332,0,0,0,0
5358,0,0,0,0,0,0,9.81672,9.81675,0,0,28,0,0,0,0
5355,0,0,0,0,0,0,9.81426,9.81433,0,0,72,0,0,0,0
5352,0,0,0,0,0,0,9.81421,9.81424,0,0,32,0,0,0,0
5349,0,0,0,0,0,0,9.81377,9.81379,0,0,28,0,0,0,0
5348,206,2,4,5,9.80804,0,0,0,0,-9808,0,0,0,0,0
5347,206,2,3,5,9.80803,0,0,0,0,-9808,0,0,0,0,0
5346,206,2,2,5,9.80802,0,0,0,0,-9808,0,0,0,0,0
5345,206,2,1,5,9.80801,0,0,0,0,-9808,0,0,0,0,0
5344,206,2,0,5,9.808,0,10.3038,0,0,-9808,-10303829,0,0,0,0
5341,0,0,0,0,0,0,9.78866,9.78868,0,0,28,0,0,0,0
5338,0,0,0,0,0,0,9.7873,9.78737,0,0,72,0,0,0,0
5335,0,0,0,0,0,0,9.78725,9.78728,0,0,32,0,0,0,0
5334,205,2,4,5,9.77504,0,0,0,0,-9775,0,0,0,0,0
5333,205,2,3,5,9.77503,0,0,0,0,-9775,0,0,0,0,0
5332,205,2,2,5,9.77502,0,0,0,0,-9775,0,0,0,0,0
5331,205,2,1,5,9.77501,0,10.2745,0,0,-9775,-10274532,0,0,0,0
5330,205,2,0,5,9.775,0,10.2442,10.2443,0,-9775,96,0,0,0,359
5327,0,0,0,0,0,0,9.75075,9.75078,0,0,28,0,0,0,0
5324,0,0,0,0,0,0,9.74947,9.74954,0,0,72,0,0,0,0
5321,0,0,0,0,0,0,9.74942,9.74945,0,0,32,0,0,0,0
5318,0,0,0,0,0,0,9.7493,9.74933,0,0,28,0,0,0,0
5316,204,1,29,30,9.74229,0,0,0,0,-9742,0,0,0,0,0
5315,204,1,28,30,9.74228,0,0,0,0,-9742,0,0,0,0,0
5314,204,1,27,30,9.74227,0,0,0,0,-9742,0,0,0,0,0
5313,204,1,26,30,9.74226,0,0,0,0,-9742,0,0,0,0,0
5312,204,1,25,30,9.74225,0,0,0,0,-9742,0,0,0,0,0
5311,204,1,24,30,9.74224,0,0,0,0,-9742,0,0,0,0,0
5310,204,1,23,30,9.74223,0,0,0,0,-9742,0,0,0,0,0
5309,204,1,22,30,9.74222,0,0,0,0,-9742,0,0,0,0,0
5308,204,1,21,30,9.74221,0,0,0,0,-9742,0,0,0,0,0
5307,204,1,20,30,9.7422,0,0,0,0,-9742,0,0,0,0,0
5306,204,1,19,30,9.74219,0,0,0,0,-9742,0,0,0,0,0
5305,204,1,18,30,9.74218,0,0,0,0,-9742,0,0,0,0,0
